,City Name,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,Paso de los Toros,-32.82,-56.52,44.87,72,2,2.35,UY,1593296124
362,Iqaluit,63.75,-68.51,41.0,75,20,8.05,CA,1593296112
363,Lærdal,61.1,7.48,55.99,86,59,4.97,NO,1593296124
364,Lata,40.16,-8.33,68.0,87,13,4.0,PT,1593296124
365,Ribeira Grande,38.52,-28.7,67.8,93,64,7.05,PT,1593296000
366,Mandalgovi,45.76,106.27,67.78,34,100,4.74,MN,1593296124
367,Ürümqi,43.8,87.6,73.4,46,99,4.47,CN,1593296124
368,Mago,53.25,140.18,55.45,78,93,1.52,RU,1593295927
369,Troitsko-Pechorsk,62.71,56.2,42.08,82,95,7.27,RU,1593295875
370,Kupang,-10.17,123.58,69.8,94,20,2.24,ID,1593296124
